% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        1.1950031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2000029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2050028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2100022000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2150027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2200029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2250026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2300019000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2350031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2400032000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2450029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2500022000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2550027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2600031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2650029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.2700018000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
